Breed,Trait,Trait_Score
Icelandic Sheepdogs,Watchdog/Protective Nature,4
Wirehaired Vizslas,Watchdog/Protective Nature,3
Pumik,Watchdog/Protective Nature,4
Portuguese Podengo Pequenos,Watchdog/Protective Nature,3
Spaniels (American Water),Watchdog/Protective Nature,3
Retrievers (Curly-Coated),Watchdog/Protective Nature,4
Spaniels (Field),Watchdog/Protective Nature,3
Lowchen,Watchdog/Protective Nature,4
Nederlandse Kooikerhondjes,Watchdog/Protective Nature,3
Affenpinschers,Watchdog/Protective Nature,3
Petits Bassets Griffons Vendeens,Watchdog/Protective Nature,4
Finnish Lapphunds,Watchdog/Protective Nature,3
Scottish Deerhounds,Watchdog/Protective Nature,3
Plott Hounds,Watchdog/Protective Nature,0
Norwegian Buhunds,Watchdog/Protective Nature,4
Glen of Imaal Terriers,Watchdog/Protective Nature,3
Setters (Irish Red and White),Watchdog/Protective Nature,3
Ibizan Hounds,Watchdog/Protective Nature,3
Spaniels (Sussex),Watchdog/Protective Nature,3
Bergamasco Sheepdogs,Watchdog/Protective Nature,4
Spaniels (Irish Water),Watchdog/Protective Nature,3
Polish Lowland Sheepdogs,Watchdog/Protective Nature,5
Otterhounds,Watchdog/Protective Nature,3
Kuvaszok,Watchdog/Protective Nature,5
Komondorok,Watchdog/Protective Nature,5
Cirnechi dell’Etna,Watchdog/Protective Nature,3
Pharaoh Hounds,Watchdog/Protective Nature,3
Dandie Dinmont Terriers,Watchdog/Protective Nature,4
Pyrenean Shepherds,Watchdog/Protective Nature,5
Skye Terriers,Watchdog/Protective Nature,3
Canaan Dogs,Watchdog/Protective Nature,4
American English Coonhounds,Watchdog/Protective Nature,3
Chinooks,Watchdog/Protective Nature,4
Finnish Spitz,Watchdog/Protective Nature,3
Grand Basset Griffon Vendeens,Watchdog/Protective Nature,3
Sloughis,Watchdog/Protective Nature,2
Harriers,Watchdog/Protective Nature,3
Cesky Terriers,Watchdog/Protective Nature,3
American Foxhounds,Watchdog/Protective Nature,3
Azawakhs,Watchdog/Protective Nature,3
English Foxhounds,Watchdog/Protective Nature,3
Norwegian Lundehunds,Watchdog/Protective Nature,3
Retrievers (Labrador),Adaptability Level,5
French Bulldogs,Adaptability Level,5
German Shepherd Dogs,Adaptability Level,5
Retrievers (Golden),Adaptability Level,5
Bulldogs,Adaptability Level,3
Poodles,Adaptability Level,4
Beagles,Adaptability Level,4
Rottweilers,Adaptability Level,4
Pointers (German 1haired),Adaptability Level,4
Dachshunds,Adaptability Level,4
Pembroke Welsh Corgis,Adaptability Level,4
Australian Shepherds,Adaptability Level,3
Yorkshire Terriers,Adaptability Level,5
Boxers,Adaptability Level,3
Great Danes,Adaptability Level,4
Siberian Huskies,Adaptability Level,4
Cavalier King Charles Spaniels,Adaptability Level,3
Doberman Pinschers,Adaptability Level,4
Miniature Schnauzers,Adaptability Level,5
Shih Tzu,Adaptability Level,5
Boston Terriers,Adaptability Level,3
Bernese Mountain Dogs,Adaptability Level,4
Pomeranians,Adaptability Level,4
Havanese,Adaptability Level,5
Cane Corso,Adaptability Level,3
Spaniels (English Springer),Adaptability Level,4
Shetland Sheepdogs,Adaptability Level,5
Brittanys,Adaptability Level,3
Pugs,Adaptability Level,5
Spaniels (Cocker),Adaptability Level,4
Miniature American Shepherds,Adaptability Level,4
Border Collies,Adaptability Level,5
Mastiffs,Adaptability Level,4
Chihuahuas,Adaptability Level,4
Vizslas,Adaptability Level,5
Basset Hounds,Adaptability Level,3
Belgian Malinois,Adaptability Level,3
Maltese,Adaptability Level,4
Weimaraners,Adaptability Level,4
Collies,Adaptability Level,4
Newfoundlands,Adaptability Level,4
Rhodesian Ridgebacks,Adaptability Level,4
Shiba Inu,Adaptability Level,3
West Highland White Terriers,Adaptability Level,4
Bichons Frises,Adaptability Level,4
Bloodhounds,Adaptability Level,3
Spaniels (English Cocker),Adaptability Level,4
Akitas,Adaptability Level,3
Portuguese Water Dogs,Adaptability Level,5
Retrievers (Chesapeake Bay),Adaptability Level,4
Dalmatians,Adaptability Level,4
St. Bernards,Adaptability Level,4
Papillons,Adaptability Level,5
Australian Cattle Dogs,Adaptability Level,3
Bullmastiffs,Adaptability Level,3
Samoyeds,Adaptability Level,4
Scottish Terriers,Adaptability Level,4
Soft Coated Wheaten Terriers,Adaptability Level,3
Whippets,Adaptability Level,3
Pointers (German Wirehaired),Adaptability Level,4
Chinese Shar-Pei,Adaptability Level,4
Airedale Terriers,Adaptability Level,3
Wirehaired Pointing Griffons,Adaptability Level,4
Bull Terriers,Adaptability Level,3
Alaskan Malamutes,Adaptability Level,3
Cardigan Welsh Corgis,Adaptability Level,3
Giant Schnauzers,Adaptability Level,4
Old English Sheepdogs,Adaptability Level,4
Italian Greyhounds,Adaptability Level,4
Great Pyrenees,Adaptability Level,3
Dogues de Bordeaux,Adaptability Level,4
Russell Terriers,Adaptability Level,4
Cairn Terriers,Adaptability Level,3
Irish Wolfhounds,Adaptability Level,3
Setters (Irish),Adaptability Level,4
Greater Swiss Mountain Dogs,Adaptability Level,3
Miniature Pinschers,Adaptability Level,4
Lhasa Apsos,Adaptability Level,5
Chinese Crested,Adaptability Level,4
Coton de Tulear,Adaptability Level,4
Staffordshire Bull Terriers,Adaptability Level,5
American Staffordshire Terriers,Adaptability Level,3
Rat Terriers,Adaptability Level,4
Chow Chows,Adaptability Level,3
Anatolian Shepherd Dogs,Adaptability Level,3
Basenjis,Adaptability Level,3
Spaniels (Boykin),Adaptability Level,4
Lagotti Romagnoli,Adaptability Level,4
Brussels Griffons,Adaptability Level,4
Retrievers (Nova Scotia Duck Tolling),Adaptability Level,4
Norwegian Elkhounds,Adaptability Level,4
Standard Schnauzers,Adaptability Level,4
Dogo Argentinos,Adaptability Level,4
Bouviers des Flandres,Adaptability Level,3
Pekingese,Adaptability Level,4
Keeshonden,Adaptability Level,5
Border Terriers,Adaptability Level,4
Leonbergers,Adaptability Level,4
Tibetan Terriers,Adaptability Level,4
Neapolitan Mastiffs,Adaptability Level,3
Setters (English),Adaptability Level,4
Retrievers (Flat-Coated),Adaptability Level,5
Borzois,Adaptability Level,3
Fox Terriers (Wire),Adaptability Level,4
Miniature Bull Terriers,Adaptability Level,4
Belgian Tervuren,Adaptability Level,3
Setters (Gordon),Adaptability Level,4
Silky Terriers,Adaptability Level,4
Norwich Terriers,Adaptability Level,4
Spinoni Italiani,Adaptability Level,3
Japanese Chin,Adaptability Level,4
Welsh Terriers,Adaptability Level,4
Toy Fox Terriers,Adaptability Level,4
Schipperkes,Adaptability Level,4
Parson Russell Terriers,Adaptability Level,4
Pointers,Adaptability Level,4
Belgian Sheepdogs,Adaptability Level,3
Tibetan Spaniels,Adaptability Level,4
American Eskimo Dogs,Adaptability Level,4
Irish Terriers,Adaptability Level,4
Beaucerons,Adaptability Level,3
Afghan Hounds,Adaptability Level,3
Boerboels,Adaptability Level,3
Fox Terriers (Smooth),Adaptability Level,4
Bearded Collies,Adaptability Level,4
Black Russian Terriers,Adaptability Level,4
Black and Tan Coonhounds,Adaptability Level,4
Spaniels (Welsh Springer),Adaptability Level,4
American Hairless Terriers,Adaptability Level,5
Norfolk Terriers,Adaptability Level,4
Xoloitzcuintli,Adaptability Level,4
Manchester Terriers,Adaptability Level,4
Kerry Blue Terriers,Adaptability Level,3
Australian Terriers,Adaptability Level,3
Spaniels (Clumber),Adaptability Level,4
Lakeland Terriers,Adaptability Level,4
Bluetick Coonhounds,Adaptability Level,3
English Toy Spaniels,Adaptability Level,4
German Pinschers,Adaptability Level,3
Tibetan Mastiffs,Adaptability Level,3
Bedlington Terriers,Adaptability Level,3
Greyhounds,Adaptability Level,4
Pulik,Adaptability Level,4
Salukis,Adaptability Level,3
Barbets,Adaptability Level,3
Redbone Coonhounds,Adaptability Level,4
Swedish Vallhunds,Adaptability Level,4
Sealyham Terriers,Adaptability Level,4
Spanish Water Dogs,Adaptability Level,3
Briards,Adaptability Level,3
Berger Picards,Adaptability Level,3
Entlebucher Mountain Dogs,Adaptability Level,4
Treeing Walker Coonhounds,Adaptability Level,4
Icelandic Sheepdogs,Adaptability Level,4
Wirehaired Vizslas,Adaptability Level,4
Pumik,Adaptability Level,4
Portuguese Podengo Pequenos,Adaptability Level,4
Spaniels (American Water),Adaptability Level,3
Retrievers (Curly-Coated),Adaptability Level,4
Spaniels (Field),Adaptability Level,4
Lowchen,Adaptability Level,4
Nederlandse Kooikerhondjes,Adaptability Level,4
Affenpinschers,Adaptability Level,4
Petits Bassets Griffons Vendeens,Adaptability Level,4
Finnish Lapphunds,Adaptability Level,4
Scottish Deerhounds,Adaptability Level,3
Plott Hounds,Adaptability Level,0
Norwegian Buhunds,Adaptability Level,4
Glen of Imaal Terriers,Adaptability Level,4
Setters (Irish Red and White),Adaptability Level,5
Ibizan Hounds,Adaptability Level,4
Spaniels (Sussex),Adaptability Level,4
Bergamasco Sheepdogs,Adaptability Level,3
Spaniels (Irish Water),Adaptability Level,4
Polish Lowland Sheepdogs,Adaptability Level,5
Otterhounds,Adaptability Level,4
Kuvaszok,Adaptability Level,4
Komondorok,Adaptability Level,3
Cirnechi dell’Etna,Adaptability Level,4
Pharaoh Hounds,Adaptability Level,3
Dandie Dinmont Terriers,Adaptability Level,3
Pyrenean Shepherds,Adaptability Level,4
Skye Terriers,Adaptability Level,3
Canaan Dogs,Adaptability Level,3
American English Coonhounds,Adaptability Level,3
Chinooks,Adaptability Level,4
Finnish Spitz,Adaptability Level,4
Grand Basset Griffon Vendeens,Adaptability Level,4
Sloughis,Adaptability Level,3
Harriers,Adaptability Level,4
Cesky Terriers,Adaptability Level,4
American Foxhounds,Adaptability Level,3
Azawakhs,Adaptability Level,3
English Foxhounds,Adaptability Level,4
Norwegian Lundehunds,Adaptability Level,3
Retrievers (Labrador),Trainability Level,5
French Bulldogs,Trainability Level,4
German Shepherd Dogs,Trainability Level,5
Retrievers (Golden),Trainability Level,5
Bulldogs,Trainability Level,4
Poodles,Trainability Level,5
Beagles,Trainability Level,3
Rottweilers,Trainability Level,5
Pointers (German 1haired),Trainability Level,5
Dachshunds,Trainability Level,4
Pembroke Welsh Corgis,Trainability Level,4
Australian Shepherds,Trainability Level,5
Yorkshire Terriers,Trainability Level,4
Boxers,Trainability Level,4
Great Danes,Trainability Level,3
Siberian Huskies,Trainability Level,3
Cavalier King Charles Spaniels,Trainability Level,4
Doberman Pinschers,Trainability Level,5
Miniature Schnauzers,Trainability Level,5
Shih Tzu,Trainability Level,4
Boston Terriers,Trainability Level,4
Bernese Mountain Dogs,Trainability Level,4
Pomeranians,Trainability Level,3
Havanese,Trainability Level,4
Cane Corso,Trainability Level,4
Spaniels (English Springer),Trainability Level,5
Shetland Sheepdogs,Trainability Level,5
Brittanys,Trainability Level,5
Pugs,Trainability Level,4
Spaniels (Cocker),Trainability Level,4
Miniature American Shepherds,Trainability Level,5
Border Collies,Trainability Level,5
Mastiffs,Trainability Level,3
Chihuahuas,Trainability Level,3
Vizslas,Trainability Level,5
Basset Hounds,Trainability Level,3
Belgian Malinois,Trainability Level,5
Maltese,Trainability Level,3
Weimaraners,Trainability Level,5
Collies,Trainability Level,4
Newfoundlands,Trainability Level,3
Rhodesian Ridgebacks,Trainability Level,4
Shiba Inu,Trainability Level,2
West Highland White Terriers,Trainability Level,3
Bichons Frises,Trainability Level,4
Bloodhounds,Trainability Level,4
Spaniels (English Cocker),Trainability Level,4
Akitas,Trainability Level,3
Portuguese Water Dogs,Trainability Level,5
Retrievers (Chesapeake Bay),Trainability Level,5
Dalmatians,Trainability Level,4
St. Bernards,Trainability Level,3
Papillons,Trainability Level,5
Australian Cattle Dogs,Trainability Level,4
Bullmastiffs,Trainability Level,4
Samoyeds,Trainability Level,4
Scottish Terriers,Trainability Level,3
Soft Coated Wheaten Terriers,Trainability Level,3
Whippets,Trainability Level,3
Pointers (German Wirehaired),Trainability Level,5
Chinese Shar-Pei,Trainability Level,3
Airedale Terriers,Trainability Level,3
Wirehaired Pointing Griffons,Trainability Level,5
Bull Terriers,Trainability Level,3
Alaskan Malamutes,Trainability Level,5
Cardigan Welsh Corgis,Trainability Level,4
Giant Schnauzers,Trainability Level,5
Old English Sheepdogs,Trainability Level,4
Italian Greyhounds,Trainability Level,4
Great Pyrenees,Trainability Level,3
Dogues de Bordeaux,Trainability Level,4
Russell Terriers,Trainability Level,3
Cairn Terriers,Trainability Level,3
Irish Wolfhounds,Trainability Level,3
Setters (Irish),Trainability Level,4
Greater Swiss Mountain Dogs,Trainability Level,4
Miniature Pinschers,Trainability Level,3
Lhasa Apsos,Trainability Level,3
Chinese Crested,Trainability Level,4
Coton de Tulear,Trainability Level,4
Staffordshire Bull Terriers,Trainability Level,5
American Staffordshire Terriers,Trainability Level,3
Rat Terriers,Trainability Level,5
Chow Chows,Trainability Level,3
Anatolian Shepherd Dogs,Trainability Level,2
Basenjis,Trainability Level,2
Spaniels (Boykin),Trainability Level,4
Lagotti Romagnoli,Trainability Level,4
Brussels Griffons,Trainability Level,4
Retrievers (Nova Scotia Duck Tolling),Trainability Level,5
Norwegian Elkhounds,Trainability Level,4
Standard Schnauzers,Trainability Level,5
Dogo Argentinos,Trainability Level,5
Bouviers des Flandres,Trainability Level,4
Pekingese,Trainability Level,3
Keeshonden,Trainability Level,5
Border Terriers,Trainability Level,4
Leonbergers,Trainability Level,5
Tibetan Terriers,Trainability Level,3
Neapolitan Mastiffs,Trainability Level,3
Setters (English),Trainability Level,4
Retrievers (Flat-Coated),Trainability Level,5
Borzois,Trainability Level,2
Fox Terriers (Wire),Trainability Level,4
Miniature Bull Terriers,Trainability Level,3
Belgian Tervuren,Trainability Level,5
Setters (Gordon),Trainability Level,5
Silky Terriers,Trainability Level,4
Norwich Terriers,Trainability Level,3
Spinoni Italiani,Trainability Level,4
Japanese Chin,Trainability Level,3
Welsh Terriers,Trainability Level,4
Toy Fox Terriers,Trainability Level,5
Schipperkes,Trainability Level,4
Parson Russell Terriers,Trainability Level,4
Pointers,Trainability Level,5
Belgian Sheepdogs,Trainability Level,5
Tibetan Spaniels,Trainability Level,3
American Eskimo Dogs,Trainability Level,4
Irish Terriers,Trainability Level,3
Beaucerons,Trainability Level,3
Afghan Hounds,Trainability Level,1
Boerboels,Trainability Level,4
Fox Terriers (Smooth),Trainability Level,3
Bearded Collies,Trainability Level,3
Black Russian Terriers,Trainability Level,4
Black and Tan Coonhounds,Trainability Level,3
Spaniels (Welsh Springer),Trainability Level,5
American Hairless Terriers,Trainability Level,5
Norfolk Terriers,Trainability Level,3
Xoloitzcuintli,Trainability Level,4
Manchester Terriers,Trainability Level,4
Kerry Blue Terriers,Trainability Level,3
Australian Terriers,Trainability Level,4
Spaniels (Clumber),Trainability Level,4
Lakeland Terriers,Trainability Level,3
Bluetick Coonhounds,Trainability Level,4
English Toy Spaniels,Trainability Level,3
German Pinschers,Trainability Level,5
Tibetan Mastiffs,Trainability Level,3
Bedlington Terriers,Trainability Level,3
Greyhounds,Trainability Level,3
Pulik,Trainability Level,5
Salukis,Trainability Level,3
Barbets,Trainability Level,4
Redbone Coonhounds,Trainability Level,3
Swedish Vallhunds,Trainability Level,4
Sealyham Terriers,Trainability Level,4
Spanish Water Dogs,Trainability Level,4
Briards,Trainability Level,3
Berger Picards,Trainability Level,4
Entlebucher Mountain Dogs,Trainability Level,3
Treeing Walker Coonhounds,Trainability Level,5
Icelandic Sheepdogs,Trainability Level,5
Wirehaired Vizslas,Trainability Level,5
Pumik,Trainability Level,5
Portuguese Podengo Pequenos,Trainability Level,3
Spaniels (American Water),Trainability Level,5
Retrievers (Curly-Coated),Trainability Level,4
Spaniels (Field),Trainability Level,5
Lowchen,Trainability Level,4
Nederlandse Kooikerhondjes,Trainability Level,5
Affenpinschers,Trainability Level,3
Petits Bassets Griffons Vendeens,Trainability Level,3
Finnish Lapphunds,Trainability Level,4
Scottish Deerhounds,Trainability Level,3
Plott Hounds,Trainability Level,0
Norwegian Buhunds,Trainability Level,3
Glen of Imaal Terriers,Trainability Level,3
Setters (Irish Red and White),Trainability Level,5
Ibizan Hounds,Trainability Level,3
Spaniels (Sussex),Trainability Level,4
Bergamasco Sheepdogs,Trainability Level,3
Spaniels (Irish Water),Trainability Level,5
Polish Lowland Sheepdogs,Trainability Level,4
Otterhounds,Trainability Level,4
Kuvaszok,Trainability Level,5
Komondorok,Trainability Level,4
Cirnechi dell’Etna,Trainability Level,4
Pharaoh Hounds,Trainability Level,4
Dandie Dinmont Terriers,Trainability Level,4
Pyrenean Shepherds,Trainability Level,5
Skye Terriers,Trainability Level,3
Canaan Dogs,Trainability Level,4
American English Coonhounds,Trainability Level,3
Chinooks,Trainability Level,4
Finnish Spitz,Trainability Level,3
Grand Basset Griffon Vendeens,Trainability Level,3
Sloughis,Trainability Level,3
Harriers,Trainability Level,4
Cesky Terriers,Trainability Level,3
American Foxhounds,Trainability Level,3
Azawakhs,Trainability Level,2
English Foxhounds,Trainability Level,4
Norwegian Lundehunds,Trainability Level,3
Retrievers (Labrador),Energy Level,5
French Bulldogs,Energy Level,3
German Shepherd Dogs,Energy Level,5
Retrievers (Golden),Energy Level,3
Bulldogs,Energy Level,3
Poodles,Energy Level,4
Beagles,Energy Level,4
Rottweilers,Energy Level,3
Pointers (German 1haired),Energy Level,5
Dachshunds,Energy Level,3
Pembroke Welsh Corgis,Energy Level,4
Australian Shepherds,Energy Level,5
Yorkshire Terriers,Energy Level,4
Boxers,Energy Level,4
Great Danes,Energy Level,4
Siberian Huskies,Energy Level,5
Cavalier King Charles Spaniels,Energy Level,3
Doberman Pinschers,Energy Level,5
Miniature Schnauzers,Energy Level,3
Shih Tzu,Energy Level,3
Boston Terriers,Energy Level,4
Bernese Mountain Dogs,Energy Level,4
Pomeranians,Energy Level,3
Havanese,Energy Level,3
Cane Corso,Energy Level,4
Spaniels (English Springer),Energy Level,4
Shetland Sheepdogs,Energy Level,4
Brittanys,Energy Level,5
Pugs,Energy Level,3
Spaniels (Cocker),Energy Level,4
Miniature American Shepherds,Energy Level,5
Border Collies,Energy Level,5
Mastiffs,Energy Level,3
Chihuahuas,Energy Level,4
Vizslas,Energy Level,5
Basset Hounds,Energy Level,2
Belgian Malinois,Energy Level,4
Maltese,Energy Level,3
Weimaraners,Energy Level,5
Collies,Energy Level,3
Newfoundlands,Energy Level,3
Rhodesian Ridgebacks,Energy Level,3
Shiba Inu,Energy Level,3
West Highland White Terriers,Energy Level,4
Bichons Frises,Energy Level,4
Bloodhounds,Energy Level,3
Spaniels (English Cocker),Energy Level,3
Akitas,Energy Level,4
Portuguese Water Dogs,Energy Level,5
Retrievers (Chesapeake Bay),Energy Level,4
Dalmatians,Energy Level,4
St. Bernards,Energy Level,3
Papillons,Energy Level,4
Australian Cattle Dogs,Energy Level,5
Bullmastiffs,Energy Level,4
Samoyeds,Energy Level,4
Scottish Terriers,Energy Level,3
Soft Coated Wheaten Terriers,Energy Level,4
Whippets,Energy Level,4
Pointers (German Wirehaired),Energy Level,5
Chinese Shar-Pei,Energy Level,3
Airedale Terriers,Energy Level,3
Wirehaired Pointing Griffons,Energy Level,5
Bull Terriers,Energy Level,4
Alaskan Malamutes,Energy Level,4
Cardigan Welsh Corgis,Energy Level,4
Giant Schnauzers,Energy Level,5
Old English Sheepdogs,Energy Level,3
Italian Greyhounds,Energy Level,3
Great Pyrenees,Energy Level,3
Dogues de Bordeaux,Energy Level,3
Russell Terriers,Energy Level,5
Cairn Terriers,Energy Level,3
Irish Wolfhounds,Energy Level,3
Setters (Irish),Energy Level,5
Greater Swiss Mountain Dogs,Energy Level,4
Miniature Pinschers,Energy Level,5
Lhasa Apsos,Energy Level,3
Chinese Crested,Energy Level,3
Coton de Tulear,Energy Level,3
Staffordshire Bull Terriers,Energy Level,4
American Staffordshire Terriers,Energy Level,3
Rat Terriers,Energy Level,4
Chow Chows,Energy Level,3
Anatolian Shepherd Dogs,Energy Level,3
Basenjis,Energy Level,4
Spaniels (Boykin),Energy Level,4
Lagotti Romagnoli,Energy Level,4
Brussels Griffons,Energy Level,3
Retrievers (Nova Scotia Duck Tolling),Energy Level,5
Norwegian Elkhounds,Energy Level,4
Standard Schnauzers,Energy Level,3
Dogo Argentinos,Energy Level,5
Bouviers des Flandres,Energy Level,4
Pekingese,Energy Level,3
Keeshonden,Energy Level,4
Border Terriers,Energy Level,3
Leonbergers,Energy Level,3
Tibetan Terriers,Energy Level,4
Neapolitan Mastiffs,Energy Level,2
Setters (English),Energy Level,3
Retrievers (Flat-Coated),Energy Level,5
Borzois,Energy Level,4
Fox Terriers (Wire),Energy Level,4
Miniature Bull Terriers,Energy Level,4
Belgian Tervuren,Energy Level,4
Setters (Gordon),Energy Level,5
Silky Terriers,Energy Level,3
Norwich Terriers,Energy Level,4
Spinoni Italiani,Energy Level,3
Japanese Chin,Energy Level,3
Welsh Terriers,Energy Level,4
Toy Fox Terriers,Energy Level,4
Schipperkes,Energy Level,3
Parson Russell Terriers,Energy Level,5
Pointers,Energy Level,4
Belgian Sheepdogs,Energy Level,4
Tibetan Spaniels,Energy Level,3
American Eskimo Dogs,Energy Level,4
Irish Terriers,Energy Level,3
Beaucerons,Energy Level,5
Afghan Hounds,Energy Level,4
Boerboels,Energy Level,3
Fox Terriers (Smooth),Energy Level,4
Bearded Collies,Energy Level,4
Black Russian Terriers,Energy Level,4
Black and Tan Coonhounds,Energy Level,3
Spaniels (Welsh Springer),Energy Level,4
American Hairless Terriers,Energy Level,3
Norfolk Terriers,Energy Level,4
Xoloitzcuintli,Energy Level,4
Manchester Terriers,Energy Level,4
Kerry Blue Terriers,Energy Level,4
Australian Terriers,Energy Level,4
Spaniels (Clumber),Energy Level,3
Lakeland Terriers,Energy Level,3
Bluetick Coonhounds,Energy Level,4
English Toy Spaniels,Energy Level,3
German Pinschers,Energy Level,5
Tibetan Mastiffs,Energy Level,3
Bedlington Terriers,Energy Level,4
Greyhounds,Energy Level,4
Pulik,Energy Level,3
Salukis,Energy Level,4
Barbets,Energy Level,3
Redbone Coonhounds,Energy Level,3
Swedish Vallhunds,Energy Level,4
Sealyham Terriers,Energy Level,3
Spanish Water Dogs,Energy Level,4
Briards,Energy Level,3
Berger Picards,Energy Level,4
Entlebucher Mountain Dogs,Energy Level,5
Treeing Walker Coonhounds,Energy Level,5
Icelandic Sheepdogs,Energy Level,4
Wirehaired Vizslas,Energy Level,5
Pumik,Energy Level,5
Portuguese Podengo Pequenos,Energy Level,4
Spaniels (American Water),Energy Level,3
Retrievers (Curly-Coated),Energy Level,4
Spaniels (Field),Energy Level,3
Lowchen,Energy Level,3
Nederlandse Kooikerhondjes,Energy Level,4
Affenpinschers,Energy Level,3
Petits Bassets Griffons Vendeens,Energy Level,4
Finnish Lapphunds,Energy Level,3
Scottish Deerhounds,Energy Level,3
Plott Hounds,Energy Level,0
Norwegian Buhunds,Energy Level,4
Glen of Imaal Terriers,Energy Level,3
Setters (Irish Red and White),Energy Level,5
Ibizan Hounds,Energy Level,5
Spaniels (Sussex),Energy Level,3
Bergamasco Sheepdogs,Energy Level,3
Spaniels (Irish Water),Energy Level,3
Polish Lowland Sheepdogs,Energy Level,3
Otterhounds,Energy Level,3
Kuvaszok,Energy Level,3
Komondorok,Energy Level,3
Cirnechi dell’Etna,Energy Level,3
Pharaoh Hounds,Energy Level,4
Dandie Dinmont Terriers,Energy Level,3
Pyrenean Shepherds,Energy Level,5
Skye Terriers,Energy Level,3
Canaan Dogs,Energy Level,3
American English Coonhounds,Energy Level,4
Chinooks,Energy Level,3
Finnish Spitz,Energy Level,5
Grand Basset Griffon Vendeens,Energy Level,5
Sloughis,Energy Level,4
Harriers,Energy Level,4
Cesky Terriers,Energy Level,3
American Foxhounds,Energy Level,4
Azawakhs,Energy Level,3
English Foxhounds,Energy Level,4
Norwegian Lundehunds,Energy Level,3
Retrievers (Labrador),Barking Level,3
French Bulldogs,Barking Level,1
German Shepherd Dogs,Barking Level,3
Retrievers (Golden),Barking Level,1
Bulldogs,Barking Level,2
Poodles,Barking Level,4
Beagles,Barking Level,4
Rottweilers,Barking Level,1
Pointers (German 1haired),Barking Level,3
Dachshunds,Barking Level,5
Pembroke Welsh Corgis,Barking Level,4
Australian Shepherds,Barking Level,3
Yorkshire Terriers,Barking Level,4
Boxers,Barking Level,3
Great Danes,Barking Level,3
Siberian Huskies,Barking Level,5
Cavalier King Charles Spaniels,Barking Level,3
Doberman Pinschers,Barking Level,3
Miniature Schnauzers,Barking Level,5
Shih Tzu,Barking Level,3
Boston Terriers,Barking Level,2
Bernese Mountain Dogs,Barking Level,3
Pomeranians,Barking Level,4
Havanese,Barking Level,4
Cane Corso,Barking Level,3
Spaniels (English Springer),Barking Level,3
Shetland Sheepdogs,Barking Level,5
Brittanys,Barking Level,3
Pugs,Barking Level,1
Spaniels (Cocker),Barking Level,3
Miniature American Shepherds,Barking Level,3
Border Collies,Barking Level,4
Mastiffs,Barking Level,1
Chihuahuas,Barking Level,5
Vizslas,Barking Level,3
Basset Hounds,Barking Level,4
Belgian Malinois,Barking Level,3
Maltese,Barking Level,3
Weimaraners,Barking Level,3
Collies,Barking Level,5
Newfoundlands,Barking Level,1
Rhodesian Ridgebacks,Barking Level,2
Shiba Inu,Barking Level,3
West Highland White Terriers,Barking Level,5
Bichons Frises,Barking Level,3
Bloodhounds,Barking Level,5
Spaniels (English Cocker),Barking Level,3
Akitas,Barking Level,2
Portuguese Water Dogs,Barking Level,3
Retrievers (Chesapeake Bay),Barking Level,3
Dalmatians,Barking Level,3
St. Bernards,Barking Level,1
Papillons,Barking Level,5
Australian Cattle Dogs,Barking Level,1
Bullmastiffs,Barking Level,1
Samoyeds,Barking Level,5
Scottish Terriers,Barking Level,4
Soft Coated Wheaten Terriers,Barking Level,3
Whippets,Barking Level,1
Pointers (German Wirehaired),Barking Level,3
Chinese Shar-Pei,Barking Level,3
Airedale Terriers,Barking Level,3
Wirehaired Pointing Griffons,Barking Level,3
Bull Terriers,Barking Level,3
Alaskan Malamutes,Barking Level,3
Cardigan Welsh Corgis,Barking Level,5
Giant Schnauzers,Barking Level,3
Old English Sheepdogs,Barking Level,3
Italian Greyhounds,Barking Level,3
Great Pyrenees,Barking Level,3
Dogues de Bordeaux,Barking Level,3
Russell Terriers,Barking Level,4
Cairn Terriers,Barking Level,4
Irish Wolfhounds,Barking Level,1
Setters (Irish),Barking Level,3
Greater Swiss Mountain Dogs,Barking Level,3
Miniature Pinschers,Barking Level,5
Lhasa Apsos,Barking Level,3
Chinese Crested,Barking Level,3
Coton de Tulear,Barking Level,1
Staffordshire Bull Terriers,Barking Level,3
American Staffordshire Terriers,Barking Level,3
Rat Terriers,Barking Level,3
Chow Chows,Barking Level,1
Anatolian Shepherd Dogs,Barking Level,3
Basenjis,Barking Level,1
Spaniels (Boykin),Barking Level,3
Lagotti Romagnoli,Barking Level,2
Brussels Griffons,Barking Level,4
Retrievers (Nova Scotia Duck Tolling),Barking Level,2
Norwegian Elkhounds,Barking Level,4
Standard Schnauzers,Barking Level,3
Dogo Argentinos,Barking Level,3
Bouviers des Flandres,Barking Level,3
Pekingese,Barking Level,1
Keeshonden,Barking Level,4
Border Terriers,Barking Level,3
Leonbergers,Barking Level,3
Tibetan Terriers,Barking Level,3
Neapolitan Mastiffs,Barking Level,1
Setters (English),Barking Level,3
Retrievers (Flat-Coated),Barking Level,3
Borzois,Barking Level,2
Fox Terriers (Wire),Barking Level,4
Miniature Bull Terriers,Barking Level,5
Belgian Tervuren,Barking Level,3
Setters (Gordon),Barking Level,3
Silky Terriers,Barking Level,4
Norwich Terriers,Barking Level,4
Spinoni Italiani,Barking Level,2
Japanese Chin,Barking Level,2
Welsh Terriers,Barking Level,4
Toy Fox Terriers,Barking Level,4
Schipperkes,Barking Level,4
